Restaurant Name,Phone,Area,Category,Date Called,Spoke To,Outcome,Tier Interested,Follow-Up Date,Signed Up?,Notes
Bake & Beans,09-620 7869,Auckland,Bakery - Sweet,2026-02-27,,Signed Up,Verified,,Yes,Verified Shop status active.
Bake & Beans,09-278 2119,Auckland,Bakery - Sweet,2026-03-04,Humam (manager),Signed Up,$10 weekly ($40/month),,Yes,"$10 weekly plan, $40 a month. SMS sent to 0225011883. Confirmed today."
Bake & Beans,09 250 4786,Auckland,Bakery - Sweet,,,,,,,
Bake & Beans,09 600 3270,Auckland,Bakery - Sweet,,,,,,,
Baklawa Café,021-278 5050,Auckland,Bakery - Mediterranean - Sweet - Cafe - Other,,,,,,,
Chef's Patisseries & Catering,09-277 9964,Auckland,Bakery - Sweet,,,,,,,
Khanz Bakery,09-270 6323,Auckland,Bakery - Sweet,,,,,,,
Lunas Bakehouse,09 622 0712,Auckland,Bakery - Sweet,,,,,,,
Lunas Bakehouse,09 622 0712,Auckland,Bakery - Sweet,,,,,,,
Manis Bakery,09 360 1676,Auckland,Bakery - Sweet,,,,,,,
Paradise,09-845 1144,Auckland,Indian - Chicken - Fish,,,,,,,
Pita House,09-636 2005,Auckland,Bakery - Sweet - Mediterranean,,,,,,,
Shefco Middle Eastern Cuisine,09-620 5404,Auckland,Mediterranean - Sweet - Cafe - Other,,,,,,,
North Shore Meat Centre,09-442 0068,New Zealand,Meat,,,,,,,
A1 Halal Chicken,0210 298 6484,Auckland,Meat,,,,,,,
Al Salam Halal Meat,022 357 3609,Auckland,Meat,,,,,,,
Auckland Halal Meats,09 846 5115,Auckland,Meat,,,,,,,
Etihad Halal Meat Butchery,09 948 1215,Auckland,Meat,,,,,,,
Khan's Halal Butchery,09 815 3466,Auckland,Meat,,,,,,,
Khan's Halal Meats,09 828 8568,Auckland,Meat,,,,,,,
Madina Halal Meats,09 218 7788,Auckland,Meat,,,,,,,
Premium Meats Wholesale NZ,09 820 0130,Auckland,Meat,,,,,,,
Premium Meats,09 629 6209,Auckland,Meat,,,,,,,
Shefco Halal Meats,09 620 8080,Auckland,Meat,,,,,,,
Barakah Halal Meats & Spices,09 818 6383,Auckland 0612,Meat,,,,,,,
Younus Halal Meat And Spices,09 629 2721,Auckland,Meat,2026-02-27,,Signed Up,Featured,,Yes,Featured Partner - Verified badge added.
Food for Less (Butcher),09 826 4387,Auckland,Meat,,,,,,,
Kelston Halal Meats,09 818 6383,Auckland,Meat,,,,,,,
Khan's Westside Halal Meats Ltd,09 836 4353,Auckland,Meat,,,,,,,
Westcity Halal Meats NZ Ltd,09 835 4786,Auckland,Meat,,,,,,,
Continental Meat & Spices,09 263 8080,Auckland,Meat,,,,,,,
Food for Less (Butcher),09 826 4387,Auckland,Meat,,,,,,,
Get Fresh Halal Meats,09 276 7779,Auckland.,Meat,,,,,,,
GetFresh SuperMarket,09 275 7197,Auckland,Meat,,,,,,,
Hunters Corner Halal Butchery,09 279 9771,Auckland,Meat,,,,,,,
Madinah Halal Meats,09 263 8070,Auckland,Meat,,,,,,,
Pasifika Halal Meats,09 279 4388,Auckland,Meat,,,,,,,
"Shop N Save Supermarket, Butchery",09 257 0961,Auckland,Meat,,,,,,,
SuperCity Halal Meats Ltd,09 276 3777,Auckland,Meat,,,,,,,
The King Meat & Spices,09 947 6466,Auckland,Meat,,,,,,,
"Mediterranean Hub, Butchery",09 600 2341,Auckland,Meat,,,,,,,
Kiwi Halal Meats,04-586 9786,Wellington,Meat - Shop,,,,,,,
Krazy Price Mart,03-389 8786,Christchurch,Meat - Shop,,,,,,,
Maihan Supermarket and Halal Meat Ltd,03-332 1897,Christchurch,Meat - Shop,,,,,,,
Mediterranean Food Company,03-379 5122,Christchurch,Meat - Shop,,,,,,,
Nobani Butchery & ethnic shop Bush Inn,022 342 6772,Christchurch 8041,Meat - Shop,,,,,,,
Firdaus Halal Meat,07-8555914,Hamilton,Meat - Shop,,,,,,,
Khyber Food and Spices and Halal Meats,07-835 8011,Hamilton,Meat - Shop,,,,,,,
Muzzammil Halal Ltd,07-855 5243,Hamilton,Meat - Shop,,,,,,,
Zam Zam Supermarket Limited,09 600 2219,Auckland 0610,Shop,,,,,,,
Wolverton Halal Meat Market,09 828 7869,Auckland 0600,Meat - Shop,,,,,,,
Cafe Anatolia Hastings,06-876 3440,Hastings,Kebab - Burger,,,,,,,
Kiwi Kebab Corner,09 828 5853,Auckland 1026,Kebab - Burger,,,,,,,
Kiwi Kebab Corner,09 828 5853,Auckland 2102,Kebab - Burger,,,,,,,
The kebab and Chicken House,09 600 3533,Auckland 1010,Kebab - Burger - Chicken,,,,,,,
Cafe Anatolia Hastings,06-870 3307,Hastings,Kebab - Burger,,,,,,,
Cafe Anatolia Masterton,06-370 3681,172 Queen St. Masterton,Kebab - Burger,,,,,,,
Saz Kebab Morrinsville,07-889 4949,Morrinsville,Kebab - Pizza,,,,,,,
Cafe Anatolia Taradale,06-844 2587,Napier,Kebab - Burger,,,,,,,
Cafe Anatolia Napier,06-834 1170,Napier,Kebab - Burger,,,,,,,
Cafe Anatolia Ahuriri,06-833 7216,Napier,Kebab - Burger,,,,,,,
Cafe Anatolia Marewa,06-843 3239,Napier,Kebab - Burger,,,,,,,
Cafe Turquoise,06-757 8921,New Plymouth,Kebab - Burger,,,,,,,
Sumela Kebab,06-751 4624,New Plymouth,Kebab - Burger,,,,,,,
Café Anatolia,07-571-8711,Tauranga,Kebab - Burger,,,,,,,
Turkish Star Kebabs,07-579 6390,Tauranga,Kebab - Pizza,,,,,,,
Saz Kebab Te Aroha,07-884 8215,149 Whitaker St Te Aroha,Kebab - Pizza,,,,,,,
Cafe Anatolia Te Awamutu,07-871 8146,Te Awamutu,Kebab - Burger,,,,,,,
Indian Taj Restaurant,06 379 5600,Wairarapa,Indian,,,,,,,
Cafe Anatolia Wanganui,06-348 7180,Wanganui,Kebab - Burger,,,,,,,
Airport Kebabs & Pizza,09-275 7800,Auckland,Kebab - Pizza - Burger,,,,,,,
Beach Pizza Manukau,09 250 1926,Auckland,Pizza,,,,,,,
Beach Pizza Manurewa,09-267 9817,Auckland,Pizza,,,,,,,
Beach Pizza Papatoetoe,09 216 1211,Auckland,Pizza,,,,,,,
Flame Pizza Takanini,09 264 0124,Auckland,Pizza - Burger,,,,,,,
Milano's Pizza,09-277 8001,Auckland,Pizza - Chicken - Burger,,,,,,,
Milanos Curry Place & Pizza,09-262 4040,Auckland,Pizza - Chicken - Burger,,,,,,,
Firewood Pizza Garden,0210 661 300,Auckland,Pizza,,,,,,,
The Rustic Pizzeria,09 478 7842,Auckland,Pizza - Chicken,,,,,,,
Beach Pizza Panmure,09 600 1050,Auckland,Pizza,,,,,,,
Flame Pizza Limited,09-277 0842,Auckland,Pizza - Burger,,,,,,,
Soul Pizza,022 376 6203,Auckland 1025,Pizza,,,,,,,
Makassar Corner Indonesia,0210 916 8818,193 Dominion road Mt Eden Auckland 1024,Asia,,,,,,,
Beach Pizza Glendene,09 837 3786,Auckland,Pizza,,,,,,,
Byte Burger,09-217 4979,Auckland,Burger - Chicken,,,,,,,
Bull’s burgers,021 110 5442,1041,Burger,,,,,,,
BEE PIZZERIA,021 110 5442,Christchurch 8042,Pizza,,,,,,,
Galaxy Pizza Ultra,09 212 2123,Auckland,Pizza,,,,,,,
Beach Pizza,09 212 2123,Auckland,Pizza,,,,,,,
Istanbul Shawarma & Woodfire Pizza,09-377 0155,Auckland,Pizza - Kebab - Mediterranean,,,,,,,
Pizza Haven,21 0220 5053,Auckland.,Pizza Shops - Burgers,,,,,,,
Massey Campus Kebab,027 226 3878,Auckland,Kebab - Burger,,,,,,,
Chicking,09-948 0615,Auckland,Chicken,,,,,,,
Kebab Serai,09-419 5650,Auckland,Kebab - Burger,,,,,,,
Cafe Anatolia Turkish Cuisine,09-478 1661,Auckland,Kebab - Burger,,,,,,,
Sensational Chicken-Browns Bay,09-217 1786,Auckland,Kebab - Burger - Chicken,,,,,,,
Kebab Hutt,09 262 0100,Auckland 2104,Kebab - Burger - Chicken,,,,,,,
Mozaic Kebab,09 265 0949,Auckland 2013,Kebab - Burger - Chicken,,,,,,,
Chicken Wiken,07 391 9090,Hamilton 3216,Kebab - Burger - Chicken,,,,,,,
Chicken Wiken,07 843 0959,Hamilton 3206,Kebab - Burger - Chicken,,,,,,,
Glen Eden Kebab Glenfield,09-444 9645,Auckland,Kebab - Burger - Pizza,,,,,,,
Kebab Serai Milford,09-489 1588,Auckland,Kebab - Burger,,,,,,,
AUT Campus kebab,027-417 0639,Auckland,Kebab - Burger,,,,,,,
Songket Malaysian Cafe,09-200 1818,Auckland,Asia,,,,,,,
Sharzad Kebab,09-486 1980,Auckland,Kebab - Burger,,,,,,,
Arbung Thai,09-214 2010,Auckland,Asia,,,,,,,
Celine Mediterranean Cuisine,09-373 2450,Auckland,Mediterranean,,,,,,,
Chamate Restaurant,09-302 7788,Auckland,Asia,,,,,,,
Smash Burger,09 307 6871,Auckland,Burger,,,,,,,
Juice Up,09 558 4669,Auckland 1052,Sweet,,,,,,,
Divine Patisserie,09 212 3676,Auckland 2019,Sweet - Cafe - Other,,,,,,,
Heavenly Kebabs,09-948 2544,Auckland,Kebab - Burger,,,,,,,
Kebab King,09-300 7191,Auckland,Kebab - Burger,,,,,,,
Sahara Grill,-,Auckland 1042,Kebab - Burger,,,,,,,
No.1 LanZhou Handmade Ramen,09 600 2089,Auckland,Asia,,,,,,,
NZ Kebab and Sensational Chicken,09-366 1624,Auckland,Kebab - Burger - Chicken,,,,,,,
Chickmate!,-,Auckland 0600,Kebab - Burger - Chicken,,,,,,,
Pita House,09-309 3176,Auckland,Chicken,,,,,,,
The Kebab House,09-373 5656,Auckland,Kebab - Burger,,,,,,,
The Tandoor,09-302 2722,Auckland,Indian,,,,,,,
Uncle Man's Restaurant & Takeaway,09-377 1799,Auckland,Asia,,,,,,,
Uncle Man's,09-377 1799,Auckland 2104,Asia,,,,,,,
Uncle Man's Restaurant & Takeaway,09-215 0409,Auckland,Asia,,,,,,,
Betsia Kebabs,09-307 0107,Auckland,Kebab - Burger,,,,,,,
Kebab To Go,09-307 6675,Auckland,Kebab - Burger,,,,,,,
Grey Lynn Turkish Kebab,09-360 6268,Auckland,Kebab - Burger - Fish,,,,,,,
Petra Shawarma,09 815 8652,Auckland,Mediterranean,,,,,,,
